Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,month,day,hour
4,2020-01-01 05:00:00,01-01-2020 03:00,2020-01-01 14:46:00,Pune,170,2,49,F,Firearm,Other Crime,1,Yes,29-04-2020 05:00,1,1,14
5,2020-01-01 21:00:00,01-01-2020 04:00,2020-01-01 16:51:00,Pune,421,19,30,F,Other,Other Crime,18,Yes,08-01-2020 21:00,1,1,16
6,2020-01-02 03:00:00,01-01-2020 05:00,2020-01-01 17:09:00,Delhi,442,1,16,M,Firearm,Violent Crime,18,Yes,30-03-2020 03:00,1,2,17
7,2020-01-01 16:00:00,01-01-2020 06:00,2020-01-01 14:08:00,Chennai,172,20,64,F,Knife,Violent Crime,13,Yes,24-03-2020 16:00,1,1,14
11,2020-01-02 13:00:00,01-01-2020 10:00,2020-01-01 19:42:00,Delhi,260,9,71,M,Explosives,Other Crime,5,Yes,01-02-2020 13:00,1,2,19
13,2020-01-01 16:00:00,01-01-2020 12:00,2020-01-01 23:14:00,Visakhapatnam,498,9,36,F,Poison,Other Crime,3,Yes,29-02-2020 16:00,1,1,23
16,2020-01-02 07:00:00,01-01-2020 15:00,2020-01-01 18:54:00,Kolkata,357,3,51,F,Explosives,Other Crime,16,Yes,30-03-2020 07:00,1,2,18
20,2020-01-03 18:00:00,01-01-2020 19:00,2020-01-02 18:02:00,Bangalore,369,7,62,F,Blunt Object,Other Crime,2,Yes,05-03-2020 18:00,1,3,18
21,2020-01-03 22:00:00,01-01-2020 20:00,2020-01-02 02:33:00,Hyderabad,251,18,50,F,Poison,Traffic Fatality,14,Yes,22-01-2020 22:00,1,3,2
22,2020-01-03 12:00:00,01-01-2020 21:00,2020-01-02 10:11:00,Mumbai,374,19,64,F,Other,Other Crime,15,Yes,03-03-2020 12:00,1,3,10
26,2020-01-02 16:00:00,01-02-2020 01:00,2020-01-02 08:21:00,Jaipur,282,1,60,M,Firearm,Violent Crime,15,Yes,12-03-2020 16:00,1,2,8
32,2020-01-04 13:00:00,01-02-2020 07:00,2020-01-02 15:05:00,Hyderabad,222,19,60,M,Knife,Other Crime,3,Yes,18-03-2020 13:00,1,4,15
37,2020-01-03 05:00:00,01-02-2020 12:00,2020-01-03 00:18:00,Lucknow,187,16,33,F,Blunt Object,Violent Crime,9,Yes,02-07-2020 05:00,1,3,0
40,2020-01-03 02:00:00,01-02-2020 15:00,2020-01-03 14:05:00,Mumbai,154,9,69,F,Explosives,Other Crime,10,Yes,15-01-2020 02:00,1,3,14
43,2020-01-03 03:00:00,01-02-2020 18:00,2020-01-03 09:30:00,Delhi,172,8,40,M,Poison,Fire Accident,10,Yes,17-03-2020 03:00,1,3,9
45,2020-01-05 19:00:00,01-02-2020 20:00,2020-01-03 06:22:00,Kolkata,387,0,44,F,Blunt Object,Fire Accident,10,Yes,12-01-2020 19:00,1,5,6
48,2020-01-05 17:00:00,01-02-2020 23:00,2020-01-03 03:42:00,Lucknow,128,8,38,F,Blunt Object,Fire Accident,14,Yes,14-03-2020 17:00,1,5,3
51,2020-01-03 05:00:00,01-03-2020 02:00,2020-01-03 17:10:00,Nagpur,573,2,54,F,Other,Other Crime,12,Yes,13-04-2020 05:00,1,3,17
52,2020-01-05 12:00:00,01-03-2020 03:00,2020-01-03 19:13:00,Kolkata,260,2,38,F,Blunt Object,Other Crime,5,Yes,14-04-2020 12:00,1,5,19
53,2020-01-05 00:00:00,01-03-2020 04:00,2020-01-03 22:01:00,Ghaziabad,211,14,29,M,Poison,Other Crime,15,Yes,20-01-2020 00:00,1,5,22
57,2020-01-06 01:00:00,01-03-2020 08:00,2020-01-03 20:16:00,Kanpur,188,16,67,F,Firearm,Violent Crime,8,Yes,20-07-2020 01:00,1,6,20
60,2020-01-05 18:00:00,01-03-2020 11:00,2020-01-04 05:33:00,Thane,352,17,53,F,Other,Other Crime,6,Yes,31-03-2020 18:00,1,5,5
62,2020-01-05 21:00:00,01-03-2020 13:00,2020-01-04 03:32:00,Surat,359,6,30,M,Explosives,Other Crime,9,Yes,09-02-2020 21:00,1,5,3
63,2020-01-03 20:00:00,01-03-2020 14:00,2020-01-04 09:27:00,Chennai,495,9,56,M,Explosives,Other Crime,5,Yes,15-03-2020 20:00,1,3,9
64,2020-01-06 06:00:00,01-03-2020 15:00,2020-01-03 23:24:00,Thane,259,12,19,F,Blunt Object,Other Crime,16,Yes,20-03-2020 06:00,1,6,23
66,2020-01-06 14:00:00,01-03-2020 17:00,2020-01-04 11:49:00,Lucknow,409,7,45,F,Other,Other Crime,3,Yes,15-03-2020 14:00,1,6,11
68,2020-01-04 20:00:00,01-03-2020 19:00,2020-01-04 08:46:00,Visakhapatnam,420,2,22,M,Knife,Other Crime,17,Yes,02-05-2020 20:00,1,4,8
69,2020-01-06 09:00:00,01-03-2020 20:00,2020-01-04 02:24:00,Hyderabad,469,14,59,F,Explosives,Other Crime,8,Yes,17-01-2020 09:00,1,6,2
72,2020-01-05 18:00:00,01-03-2020 23:00,2020-01-04 11:34:00,Nagpur,244,0,53,F,Knife,Fire Accident,1,Yes,23-03-2020 18:00,1,5,11
74,2020-01-06 05:00:00,01-04-2020 01:00,2020-01-04 03:01:00,Chennai,524,0,36,M,Firearm,Fire Accident,5,Yes,20-01-2020 05:00,1,6,3
76,2020-01-06 00:00:00,01-04-2020 03:00,2020-01-04 20:57:00,Delhi,191,19,52,M,Explosives,Other Crime,7,Yes,26-01-2020 00:00,1,6,20
78,2020-01-05 21:00:00,01-04-2020 05:00,2020-01-04 17:02:00,Indore,517,11,58,F,Knife,Violent Crime,10,Yes,29-03-2020 21:00,1,5,17
81,2020-01-05 03:00:00,01-04-2020 08:00,2020-01-04 23:33:00,Delhi,197,1,61,F,Knife,Violent Crime,10,Yes,04-03-2020 03:00,1,5,23
83,2020-01-06 12:00:00,01-04-2020 10:00,2020-01-05 09:17:00,Mumbai,305,15,25,F,Firearm,Violent Crime,14,Yes,21-03-2020 12:00,1,6,9
84,2020-01-04 19:00:00,01-04-2020 11:00,2020-01-05 06:13:00,Kolkata,150,18,72,F,Blunt Object,Traffic Fatality,9,Yes,20-01-2020 19:00,1,4,6
86,2020-01-06 17:00:00,01-04-2020 13:00,2020-01-05 06:42:00,Mumbai,438,19,22,M,Other,Other Crime,5,Yes,11-03-2020 17:00,1,6,6
87,2020-01-07 06:00:00,01-04-2020 14:00,2020-01-04 16:00:00,Lucknow,498,14,30,F,Firearm,Other Crime,10,Yes,18-01-2020 06:00,1,7,16
97,2020-01-06 02:00:00,01-05-2020 00:00,2020-01-05 15:36:00,Nagpur,523,11,26,F,Explosives,Violent Crime,5,Yes,12-02-2020 02:00,1,6,15
99,2020-01-06 23:00:00,01-05-2020 02:00,2020-01-05 14:38:00,Hyderabad,292,11,74,F,Explosives,Violent Crime,15,Yes,23-01-2020 23:00,1,6,14
100,2020-01-06 20:00:00,01-05-2020 03:00,2020-01-05 06:41:00,Hyderabad,455,6,13,F,Other,Other Crime,13,Yes,22-01-2020 20:00,1,6,6
