Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,month,day,hour,Latitude,Longitude
4,2020-01-01 05:00:00,01-01-2020 03:00,2020-01-01 14:46:00,Pune,170,2,49,F,Firearm,Other Crime,1,Yes,29-04-2020 05:00,1,1,14,18.5213738,73.8545071
5,2020-01-01 21:00:00,01-01-2020 04:00,2020-01-01 16:51:00,Pune,421,19,30,F,Other,Other Crime,18,Yes,08-01-2020 21:00,1,1,16,18.5213738,73.8545071
6,2020-01-02 03:00:00,01-01-2020 05:00,2020-01-01 17:09:00,Delhi,442,1,16,M,Firearm,Violent Crime,18,Yes,30-03-2020 03:00,1,2,17,28.6138954,77.2090057
7,2020-01-01 16:00:00,01-01-2020 06:00,2020-01-01 14:08:00,Chennai,172,20,64,F,Knife,Violent Crime,13,Yes,24-03-2020 16:00,1,1,14,13.0836939,80.270186
11,2020-01-02 13:00:00,01-01-2020 10:00,2020-01-01 19:42:00,Delhi,260,9,71,M,Explosives,Other Crime,5,Yes,01-02-2020 13:00,1,2,19,28.6138954,77.2090057
13,2020-01-01 16:00:00,01-01-2020 12:00,2020-01-01 23:14:00,Visakhapatnam,498,9,36,F,Poison,Other Crime,3,Yes,29-02-2020 16:00,1,1,23,17.6935526,83.2921297
16,2020-01-02 07:00:00,01-01-2020 15:00,2020-01-01 18:54:00,Kolkata,357,3,51,F,Explosives,Other Crime,16,Yes,30-03-2020 07:00,1,2,18,22.5726459,88.3638953
20,2020-01-03 18:00:00,01-01-2020 19:00,2020-01-02 18:02:00,Bangalore,369,7,62,F,Blunt Object,Other Crime,2,Yes,05-03-2020 18:00,1,3,18,12.9767936,77.590082
21,2020-01-03 22:00:00,01-01-2020 20:00,2020-01-02 02:33:00,Hyderabad,251,18,50,F,Poison,Traffic Fatality,14,Yes,22-01-2020 22:00,1,3,2,17.360589,78.4740613
22,2020-01-03 12:00:00,01-01-2020 21:00,2020-01-02 10:11:00,Mumbai,374,19,64,F,Other,Other Crime,15,Yes,03-03-2020 12:00,1,3,10,19.054999,72.8692035
26,2020-01-02 16:00:00,01-02-2020 01:00,2020-01-02 08:21:00,Jaipur,282,1,60,M,Firearm,Violent Crime,15,Yes,12-03-2020 16:00,1,2,8,26.9154576,75.8189817
32,2020-01-04 13:00:00,01-02-2020 07:00,2020-01-02 15:05:00,Hyderabad,222,19,60,M,Knife,Other Crime,3,Yes,18-03-2020 13:00,1,4,15,17.360589,78.4740613
37,2020-01-03 05:00:00,01-02-2020 12:00,2020-01-03 00:18:00,Lucknow,187,16,33,F,Blunt Object,Violent Crime,9,Yes,02-07-2020 05:00,1,3,0,26.8381,80.9346001
40,2020-01-03 02:00:00,01-02-2020 15:00,2020-01-03 14:05:00,Mumbai,154,9,69,F,Explosives,Other Crime,10,Yes,15-01-2020 02:00,1,3,14,19.054999,72.8692035
